Target_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,X,Type,Family,Clan,Gene_ID
TMUE_0000000360.1,195.402879295393,-0.543140318496242,1.06351754152924,0.00306592048626218,0.0113174364025435,NA,NA,NA,NA,NA
TMUE_0000000360.2,555.015618457665,-0.769124734278304,1.61873455044565,0.0021990727647442,0.00846338690277365,NA,NA,NA,NA,NA
TMUE_0000000870.1,334.961771657101,-0.128310669646609,0.170132807499489,0.437073766352387,0.608925474624588,NA,NA,NA,NA,NA
TMUE_0000001637.1,318.640394440746,0.0465540033336914,0.467528687120573,0.896500092761474,0.943952183621607,NA,NA,NA,NA,NA
TMUE_0000001971.1,35.0881419088364,0.52736862911915,0.587535927172365,0.177883044696243,0.322874888505973,NA,NA,NA,NA,NA
TMUE_0000001972.1,25.9507947362714,0.185418017529472,0.601113661534289,0.578490934219644,0.729369618980139,NA,NA,NA,NA,NA
TMUE_1000002988.1,917.817634145811,-0.194325352763619,0.19118216242662,0.289385725516145,0.459631221367567,209,M,M12B,MA,TMUE_1000002988
TMUE_1000003153.1,4251.41493739293,-0.67974531389503,0.127722623939982,5.80567014763997e-08,5.41332194349334e-07,213,M,M13,MA,TMUE_1000003153
TMUE_1000003583.1,3951.28677198713,-0.152233960659339,0.112909084977432,0.171442982853598,0.314125578022117,249,M,M67A,MP,TMUE_1000003583
TMUE_1000003770.1,148.630698116245,-1.17090197838229,0.466537698888029,0.00275078010473716,0.010319574937531,248,M,M67A,MP,TMUE_1000003770
TMUE_1000003968.1,940.807600344838,0.0376708763353061,0.193176363997426,0.840958516908998,0.911352606526434,214,M,M14A,MC,TMUE_1000003968
TMUE_1000004180.1,3542.72595076807,-3.24683203465885,0.200331754496508,4.79495118379598e-60,6.23382637236435e-58,217,M,M14A,MC,TMUE_1000004180
TMUE_1000004730.1,1837.50957466779,-3.7902912856516,0.445732922278731,1.20449405048149e-18,3.2048360002079e-17,216,M,M14A,MC,TMUE_1000004730
TMUE_1000004911.1,1178.72884311855,-0.73585663213111,0.189769739753043,5.44652320478546e-05,0.000308302132983095,NA,NA,NA,NA,NA
TMUE_1000004982.1,2230.18080246707,0.455646978606011,0.168624575236164,0.00524429705453121,0.0180892049609596,243,M,M41,MA,TMUE_1000004982
